,"action,wealth","advice,greeting","opinion,wealth","religion,family and friends","relationships,opinion","relationships,wealth","relationships,advice","religion,conflict","family and friends,sex and party","career,advice",relationships,"emotion,adlib","existential,wealth","career,adlib","weather,conflict","relationships,emotion","greeting,conflict","weather,wealth","action,opinion","advice,sex and party","wealth,conflict","action,greeting",sex and party,"conflict,sex and party","career,wealth","existential,adlib","action,weather","opinion,weather","opinion,greeting","sex and party,family and friends","career,existential","wealth,greeting",adlib,"farewell,wealth","wealth,sex and party","weather,sex and party","greeting,sex and party","farewell,greeting",greeting,"emotion,existential","relationships,sex and party","adlib,family and friends","emotion,conflict","emotion,action",farewell,"action,sex and party","adlib,weather","emotion,family and friends","existential,sex and party",religion,"relationships,family and friends","existential,opinion","relationships,existential","action,emotion","family and friends,conflict","existential,greeting",career,"adlib,greeting","advice,family and friends","existential,religion","relationships,greeting","advice,weather","greeting,wealth",action,existential,emotion,"action,religion","religion,advice","existential,conflict","sex and party,conflict","action,existential","opinion,existential",weather,"career,greeting","greeting,family and friends","career,relationships",wealth,"relationships,adlib","opinion,advice","action,advice","advice,conflict","action,relationships","adlib,advice","conflict,family and friends","existential,family and friends","adlib,conflict","action,career","relationships,career","emotion,relationships","existential,weather","adlib,existential","emotion,advice","opinion,sex and party","religion,wealth","opinion,conflict","emotion,sex and party","existential,advice",family and friends,"emotion,religion","relationships,weather","action,conflict","career,sex and party","advice,wealth","opinion,family and friends","action,family and friends","religion,sex and party","adlib,wealth","emotion,greeting","adlib,religion","relationships,religion","opinion,religion",conflict,"wealth,family and friends",advice,"career,opinion","adlib,sex and party",opinion,"career,conflict","farewell,conflict","relationships,action","relationships,conflict","emotion,wealth","opinion,adlib","career,family and friends"
1037,,,,,,,,,,,"With the whole bottle of Mo', don't pop it, baby!",,,,,,,,,,,,,,,,,,,,,,[DJ Drama],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,,,,,,,,,,,When you met two shorty's and you really want the cutey,,,,,,,,,,,,,,,,,,,,,,Y'all know what I come here for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,,,,,,,,,,,"Uh, I wish I could give you this feeling, I wish I could give you this feeling",,,,,,,,,,,,,,,,,,,,,,Call me the iPod King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,,,,,,,,,,,"She from the N.O., but she never told me """"N-O"""" so",,,,,,,,,,,,,,,,,,,,,,Call me Mr. Thanksgiving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,,,,,,,,,,,"I don't know how to put this, but I'm kind of a big deal",,,,,,,,,,,,,,,,,,,,,,[Nancy Sinatra],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,,,,,,,,,,,"(Ok girl) Yeah, what I did was wack",,,,,,,,,,,,,,,,,,,,,,[Lil Wayne],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,,,,,,,,,,,"(Ok girl) Yeah, what I did was wack",,,,,,,,,,,,,,,,,,,,,,"Heads to them Katrina victims, we still mobbin'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,,,,,,,,,,,"Cuz I'm too much man, to leave a mark on you",,,,,,,,,,,,,,,,,,,,,,Shiny black coupe at night look like a goblin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,,,,,,,,,,,"Aiyo, I thought we was iller than that, all them kisses",,,,,,,,,,,,,,,,,,,,,,"AK on the backseat, baby it's so-{*record rewinds*}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,,,,,,,,,,,They all want a nigga hollering out â€œmoney ain’t a thingâ€,,,,,,,,,,,,,,,,,,,,,,"Heads to them Katrina victims, we still mobbin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,,,,,,,,,,,Calling you later what she crying about,,,,,,,,,,,,,,,,,,,,,,Shiny black coupe at night look like a goblin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,,,,,,,,,,,Put that bitch on now what she lying about,,,,,,,,,,,,,,,,,,,,,,"And, hi there ho what do ya know I'm ridin'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,,,,,,,,,,,Talking about how she late and how she eat a lot,,,,,,,,,,,,,,,,,,,,,,"In the same streets my pops died in, I got 'em and",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,,,,,,,,,,,"I prolly tell her to keep it, it’ll be out little secret",,,,,,,,,,,,,,,,,,,,,,What these bitches want from a nigga?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,,,,,,,,,,,As long as she don’t flip it tell her man that we creepin’,,,,,,,,,,,,,,,,,,,,,,Ayo it's death before dishonor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,,,,,,,,,,,When she told me it was mine I damn near fainted,,,,,,,,,,,,,,,,,,,,,,The only way I can keep calm is a strain of marijuana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,,,,,,,,,,,You could learn something from her but you might get burned from her,,,,,,,,,,,,,,,,,,,,,,"I may have suicidal thoughts, you know this shit's depressin'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,,,,,,,,,,,Now she say she pregnant and its mine,,,,,,,,,,,,,,,,,,,,,,"After Once Upon a Time, no more mafia, there will be just Erik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,,,,,,,,,,,I’m thinking she was lying by the looks on her face,,,,,,,,,,,,,,,,,,,,,,It's like a lot of games bein' played,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,,,,,,,,,,,But she started paging me like every single day,,,,,,,,,,,,,,,,,,,,,,Bring 'em dead or alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,,,,,,,,,,,Must’ve thought she was gon’ make a fool out of me,,,,,,,,,,,,,,,,,,,,,,"Ah-oh no, bring 'em dead or alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,,,,,,,,,,,Calling you later saying what she crying about,,,,,,,,,,,,,,,,,,,,,,Uh.. killa.. Dip Set.. Santana.. Freeky.. Jim Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,,,,,,,,,,,Put that bitch on now what she lying about,,,,,,,,,,,,,,,,,,,,,,"Yo, yo, yo the way I been treated in this industry? Not nicely",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,,,,,,,,,,,Talking about how she late and how she eat a lot,,,,,,,,,,,,,,,,,,,,,,Tried to get someone to pop my chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,,,,,,,,,,,"I prolly tell her to keep it, it'll be our little secret",,,,,,,,,,,,,,,,,,,,,,"I'm beyond forensic, a menace wit' a matic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,,,,,,,,,,,As long as she don't flip it tell her man that we creepin',,,,,,,,,,,,,,,,,,,,,,Bring 'em to me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,,,,,,,,,,,When she told me it was mine I damn near fainted,,,,,,,,,,,,,,,,,,,,,,(Chorus 5x),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,,,,,,,,,,,You could learn something from her but you might get burned from her,,,,,,,,,,,,,,,,,,,,,,[Jim Jones talking over Hook],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,,,,,,,,,,,Now she say she pregnant and its mine,,,,,,,,,,,,,,,,,,,,,,"Triple noooooo, Come on, Bs Up, Dip Set, uh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,,,,,,,,,,,I'm thinking she was lying by the looks on her face,,,,,,,,,,,,,,,,,,,,,,Yo I'mma keep it funky dog to hop my chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,,,,,,,,,,,But she started paging me like every single day,,,,,,,,,,,,,,,,,,,,,,Was made up centuries ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,,,,,,,,,,,With me this shit gon' cost,,,,,,,,,,,,,,,,,,,,,,"Yes, it’s awful, blasted boring",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,,,,,,,,,,,Tell me that you love me baby,,,,,,,,,,,,,,,,,,,,,,"Twisted fictions, sick addictions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,,,,,,,,,,,You want a bitch with no type of flaws,,,,,,,,,,,,,,,,,,,,,,"Oh, oh, oh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,,,,,,,,,,,My girls be shopping hard,,,,,,,,,,,,,,,,,,,,,,"Oh, oh, oh, oh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,,,,,,,,,,,"But for effort I get an A, girl",,,,,,,,,,,,,,,,,,,,,,"Oh, oh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,,,,,,,,,,,"What's your friend's attitude, why she so damn rude? huh?",,,,,,,,,,,,,,,,,,,,,,"That's me, the first year that I blow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,,,,,,,,,,,Tell her smile for a change,,,,,,,,,,,,,,,,,,,,,,How you say broke in Spanish? Me no hablo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,,,,,,,,,,,"If a baller come around, she gone smile for the change",,,,,,,,,,,,,,,,,,,,,,Me drown sorrow in that Diablo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,,,,,,,,,,,Yeah she living it up for tonight,,,,,,,,,,,,,,,,,,,,,,DJs need to listen to the models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,,,,,,,,,,,"Ayy girl, I tried to make you my baby",,,,,,,,,,,,,,,,,,,,,,"""""You ain't got no fuckin' Yeezy in your Serato?""""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,,,,,,,,,,,"Ayy girl, instead you make me go crazy",,,,,,,,,,,,,,,,,,,,,,"(You ain't got no Yeezy, nigga?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,,,,,,,,,,,Just run through me,,,,,,,,,,,,,,,,,,,,,,I'm just a Chi-town nigga with a Nas flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,,,,,,,,,,,"Ayy girl, I tried to make you my baby",,,,,,,,,,,,,,,,,,,,,,"So much head, I woke up in Sleepy Hollow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,,,,,,,,,,,"Ayy girl, instead you make me go crazy",,,,,,,,,,,,,,,,,,,,,,Human (x28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,,,,,,,,,,,We coming through with this,,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,,,,,,,,,,,You got to see this microphone as you woman,,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,,,,,,,,,,,You couldn't fuck with us tomorrow or today-ay-ay,,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,,,,,,,,,,,"Cause baby, you're awesome",,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,,,,,,,,,,,"I got a hope, I got a chance",,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,,,,,,,,,,,"Cause baby, you're awesome",,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,,,,,,,,,,,"Baby, not for nothing",,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,,,,,,,,,,,And I've got it,,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,,,,,,,,,,,"Cause baby, you're awesome",,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,,,,,,,,,,,"Cause baby, you're awesome",,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,,,,,,,,,,,"Baby, not for nothing, I know you're lookin' for somethin'",,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,,,,,,,,,,,And put me in my place,,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,,,,,,,,,,,"Boy, you don't wanna know",,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,,,,,,,,,,,I don’t know why niggas tripping on a nigga,,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,,,,,,,,,,,"When your pop was Slim, I was Baby",,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,,,,,,,,,,,Go get a bitch and then build her body,,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,,,,,,,,,,,"""""Baby, don't let me suffer, cause another won't do",,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,,,,,,,,,,,"Baby, don't let me suffer, cause another won't do""""",,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,,,,,,,,,,,"With lyrics so hard I even make Mystikal say """"danger""""",,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,,,,,,,,,,,I gotta girl at home,,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,,,,,,,,,,,But she don't cook,,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,,,,,,,,,,,She was buyin Alize out the liquor aisle,,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,,,,,,,,,,,"She said, 'i hope its not too ghetto'",,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,,,,,,,,,,,But she don't drive,,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,,,,,,,,,,,So her chance of having a husband just minimize,,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,,,,,,,,,,,That's why a lot of girls claim they ain't into guys,,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,,,,,,,,,,,I knew she wouldn't vibrate,,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,,,,,,,,,,,No I seen her inner eyes,,,,,,,,,,,,,,,,,,,,,,03. Part 3: Da Funk / Busta Rhymes - Touch It,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,,,,,,,,,,,She telling me about how black people should enterprise,,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,,,,,,,,,,,"Told her I had a girl, nah I didn't lie",,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,,,,,,,,,,,And I'm looking in her eyes and I'm loving her vibrate,,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,,,,,,,,,,,And think yeah Free's banging but she's no Rachel.,,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,,,,,,,,,,,After we,,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,,,,,,,,,,,"Baby, don't worry about it",,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,,,,,,,,,,,Before you're done for good because I could make it good,,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,,,,,,,,,,,"I could make you go, I could make you hot",,,,,,,,,,,,,,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,,,,,,,,,,,"Checking through my cell phone, baby no",,,,,,,,,,,,,,,,,,,,,,That's how long I been on ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,,,,,,,,,,,"Oh, here we go",,,,,,,,,,,,,,,,,,,,,,That's how long I been on ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,,,,,,,,,,,Baby don't worry 'bout it,,,,,,,,,,,,,,,,,,,,,,That's how long I been on ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,,,,,,,,,,,"Anyway, they don't know you like I do",,,,,,,,,,,,,,,,,,,,,,That's how long I been on ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,,,,,,,,,,,(They don't know),,,,,,,,,,,,,,,,,,,,,,"Write it, cut it, paste it, save it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
